Name,Link
"Janícek, James",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=24796
"Janinet, Jean-François",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4446
"Janko, May",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4447
"Janscha, Lorenz",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4448
"Jansen, Angela Bing",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4449
"Janssen, Hans",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4450
"Janssen, Henri Adelbert",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4546
"Janssen, Horst",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4451
"Janssen, Jules Cesar",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=30432
Japanese 13th Century,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=2845
Japanese 19th Century,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=5653
Japanese Edo Period,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=5655
"Jaques, Bertha Evelyn",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=23604
"Jaques, Ronny",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=31678
"Jarcovják, Lubomír",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=24941
"Jardinier, Claude-Donat",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4452
"Jarry, Alfred",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=17819
"Jarvis, Charles Wesley",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=2582
"Jarvis, John Wesley",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=1417
"Jarvis, Roland",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4453
"Javacheff, Christo",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=6937
"Javacheff, Christo Vladimirov",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=6937
"Jawlensky, Alexej von",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=1418
"Jazet, Jean-Pierre-Marie",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4454
"Jeakins, Dorothy",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=33600
Jean de Court,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=2322
"Jean-Georges, Huyot",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=17811
Jeanne-Claude,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=21223
"Jeanneret, Charles Edouard",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=11554
"Jeanniot, Georges",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=21934
"Jeanniot, Pierre-Georges",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=21934
